-- 生产程序 --,2025/4/19 13:57,,,,,
程序名,CPE-EP40-EBOM-20250410-BOT.iss,用户ID,smt,,,
基板ID,,生产线名,6L,,,
< 吸取数据 >,,,,,,
[#1(RX-8)],,,,,,
No,供应,编号,元件名,供料器类型,贴片数,贴片ID
1,左前面,20,RC0201JR-0733RL,RF 8mm 2mm(2*1) M,6,"R8529,R8527,R8511,R8510,R8516,R8517"
2,左前面,21,RC0201FR-0749R9L,RF 8mm 2mm(2*1) M,8,"R8512,R8513,R8524,R8523,R8530,R8531,R3300,R3301"
3,左前面,22,CC0201KRX5R8BB104,RF 8mm 2mm(2*1) M,39,"C1900,C1500,C1301,C1510,C1511,C1300,C1401,C9833,C1800,C1509,C1602,C1406,C1404,C1405,C1212,C1209,C1012,C1005,C1213,C1700,C1701,C1210,C1203,C1205,C1408,C1402,C1403,C1017,C1407,C1411,C1412,C1207,C1100,C1101,C57,C58,C56,C59,C60"
4,左前面,23,RC0201JR-070RL,RF 8mm 2mm(2*1) M,4,"R3302,R3304,R3310,R3311"
5,左前面,24,RC0201FR-07200RL,RF 8mm 2mm(2*1) M,1,R1400
6,左前面,25,CC0402KRX5R9BB104,RF 8mm 2mm(2*1) M,118,"C205,C407,C90,C43,C9659,C8905,C8907,C9633,C9635,C13,C9632,C9636,C9717,C209,C120,C9665,C9662,C9668,C9660,C9669,C9664,C2512,C9624,C9945,C1000,C1400,C3343,C3333,C3317,C3332,C3344,C3328,C3339,C3311,C3345,C3341,C8530,C9807,C9801,C9802,C9800,C9804,C9798,C9805,C9774,C6912,C6913,C6914,C3338,C3316,C3319,C3337,C3335,C3313,C3314,C3325,C3320,C3321,C3336,C3315,C8523,C6911,C9777,C9775,C2212,C5402,C8551,C9521,C50,C51,C9846,C9848,C3312,C3327,C4006,C4005,C4009,C4002,C4003,C4001,C4000,C6713,C6717,C6714,C3326,C3342,C3318,C6922,C6928,C9936,C2507,C9574,C9583,C9584,C9590,C9589,C9634,C14,C9626,C107,C9576,C9728,C9645,C9706,C9697,C6813,C6823,C6818,C6722,C6724,C6723,C6725,C6719,C6822,C6821,C6816,C6825,C6819"
7,左前面,26,GRM033R71A103KA01D,RF 8mm 2mm(2*1) M,6,"C9862,C9863,C9652,C9653,C9654,C9655"
8,右前面,1,CC0402KRX7R9BB221,RF 8mm 2mm(2*1) M,2,"C9691,C9693"
9,右前面,2,RC0402FR-07330RL,RF 8mm 2mm(2*1) M,2,"R101,R114"
10,右前面,3,RC0402FR-0747KL,RF 8mm 2mm(2*1) M,2,"R46,R62"
11,右前面,4,RC0402FR-07240RL,RF 8mm 2mm(2*1) M,2,"R3312,R3313"
12,右前面,5,RC0402FR-0715KL,RF 8mm 2mm(2*1) M,2,"R6963,R3"
13,右前面,6,CC0402JRNPO9BN101,RF 8mm 2mm(2*1) M,2,"C9939,C204"
14,右前面,7,RC0402FR-078K87L,RF 8mm 2mm(2*1) M,2,"R102,R10203"
15,右前面,8,CC0402KRX7R9BB822,RF 8mm 2mm(2*1) M,2,"C9937,C203"
16,右前面,9,RC0402FR-07249KL,RF 8mm 2mm(2*1) M,2,"R103,R10206"
17,右前面,10,RC0402JR-072R2L,RF 8mm 2mm(2*1) M,4,"R8532,R9858,R9859,R10076"
18,右前面,11,RC0402FR-07300KL,RF 8mm 2mm(2*1) M,2,"R2,R10202"
19,右前面,12,RC0402FR-0727KL,RF 8mm 2mm(2*1) M,2,"R324,R10195"
20,右前面,13,CC0402KRX7R9BB103,RF 8mm 2mm(2*1) M,17,"C6703,C6702,C6705,C6704,C9793,C9792,C9790,C9791,C9780,C9778,C9779,C9781,C2149,C6802,C6803,C6804,C6805"
21,右前面,14,RC0402JR-072K2L,RF 8mm 2mm(2*1) M,6,"R10091,R10092,R1204,R1205,R1206,R1207"
22,右前面,15,CC0402KRX7R9BB102,RF 8mm 2mm(2*1) M,20,"C3304,C3306,C3303,C3305,C1501,C1504,C1508,C1506,C1505,C1507,C1503,C121,C9585,C9586,C9588,C9587,C9592,C9594,C9591,C9593"
23,右前面,16,RC0402JR-0722RL,RF 8mm 2mm(2*1) M,9,"R10011,R10010,R10012,R1300,R1507,R10114,R8522,R41,R43"
